,SiPM,ped_mean,ped_std,ped_median,ped_mode,light_mean,light_std,a,a_err,b,b_err,ab_cov
41,41,74.68800342148407,7.859679614777576,74.0,71.0,212.2387400530504,111.24522501169,41.28571466017414,1.5583874536426208,70.38095231423864,0.3086067021186768,
42,42,75.46054601183263,8.42985106912592,75.0,73.0,271.61977950928383,134.15513188899152,41.73333322192417,1.366260153863427,72.77575759238775,0.22019276913345,
43,43,74.38206572100648,6.846156621252783,73.0,73.0,172.2736969496021,92.90011773141758,44.28571428580653,1.6903085458432736,70.57142857158033,0.3779644733756973,
44,44,74.22084016442132,7.457355668523449,73.0,71.0,266.74887765251987,153.2727531143817,44.66666666675967,1.3662602036209497,68.67878787893551,0.22019277432558906,
45,45,74.54724736854611,8.399678035888972,74.0,73.0,178.1544777851459,98.01541713119849,36.2857142857891,1.6903085348500855,73.00000000015704,0.3779644829446631,
46,46,75.93328106066006,7.833212381561625,75.0,73.0,267.7419811007958,130.7466226493256,44.66666666675969,1.3662600296180707,71.73333333348762,0.22019273932143923,
47,47,75.50596383681422,7.822724655886744,75.0,73.0,210.12821120689654,107.68603437319959,44.857142992423846,1.558387387978184,66.8095237885729,0.30860668919006473,
48,48,72.94554137857295,8.098807359237755,72.0,69.0,240.20593335543768,121.20497064272139,42.11111111119858,1.4529662713582108,68.33333333348021,0.25819887973523753,
49,49,75.15422814645852,8.250722144621617,74.0,73.0,209.47906332891247,110.97298809109445,41.42857142865738,1.5583875440881894,70.23809523824627,0.3086067154791572,
50,50,74.3134221968779,8.660480587640816,74.0,73.0,261.61619860742707,127.91433642427987,37.999999955643034,1.3662600967227538,68.80000000806491,0.2201927510284143,
51,51,73.52141991588852,8.559343607381052,73.0,73.0,163.8834051724138,90.83819890923974,37.99999996091499,1.6903085107855311,69.71428572405696,0.3779644728262049,
52,52,74.65349157697152,8.316754642829588,74.0,71.0,225.99690318302387,113.57032297215267,42.666666666755454,1.4529664272969522,67.06666666681076,0.2581989144068478,
53,53,72.67135932710814,6.815322549013351,72.0,71.0,149.91565815649867,79.16167844368522,41.46666677229949,1.8618986757808451,67.19999997712033,0.478091450784367,
54,54,73.54476441656568,8.29290518903882,73.0,69.0,224.66364058355438,117.74430482242771,41.33333379149787,1.4529662054833306,71.86666659444907,0.258198870277246,
55,55,73.8935419488203,6.9446276005948135,73.0,71.0,192.22202751989389,101.39197582498029,43.85714307153714,1.5583874027004452,69.8095237734147,0.3086066910581924,
56,56,73.93537196759094,8.520072985622365,73.0,71.0,183.5478199602122,99.28792043900037,40.71428571437005,1.5583874699569504,69.95238095253137,0.30860670682880564,
57,57,73.37701665597453,7.640528713592666,72.0,71.0,157.09272214854113,84.45172427877957,41.42857142865743,1.6903085205814923,68.00000000014614,0.37796447301086317,
58,58,72.36464941668449,8.419773377943473,72.0,69.0,201.44778846153847,109.2805116595855,37.57142857150612,1.5583875295035412,71.76190476205912,0.30860672767084524,
59,59,72.82195214674366,6.330609072368969,72.0,71.0,136.23054874005305,71.9319827456798,43.33333330119261,1.861898712231151,70.85714286472898,0.4780914728998102,
60,60,72.51121486444745,6.882607353080922,72.0,71.0,160.7643401856764,85.22901539123956,41.428571443474254,1.6903085903255293,68.42857142684232,0.3779644796823049,
61,61,74.56837028060922,8.006049259298747,74.0,73.0,112.81193965517241,54.73558487841141,36.80000000007583,2.097617654438095,69.20000000014876,0.6324555141114927,
62,62,73.5645092308789,8.06201918488755,73.0,71.0,149.63292606100796,81.85464520139755,34.00000002746582,1.8618986709806193,71.42857142072405,0.47809144081778965,
63,63,73.73494190605174,7.183741089409239,73.0,71.0,131.39591843501327,68.15506821493959,46.800000194267,1.8618986504684796,67.1999999569158,0.4780914425577939,
