XYDATA;LYSO.jws
582,0000;829,711
582,5000;829,148
583,0000;808,665
583,5000;813,695
584,0000;788,807
584,5000;765,78
585,0000;756,115
585,5000;785,721
586,0000;739,549
586,5000;742,162
587,0000;716,682
587,5000;708,014
588,0000;717,136
588,5000;690,897
589,0000;689,987
589,5000;675,463
590,0000;651,997
590,5000;670,777
591,0000;653,856
591,5000;644,552
592,0000;628,949
592,5000;615,413
593,0000;610,314
593,5000;603,206
594,0000;579,621
594,5000;585,004
595,0000;567,906
595,5000;554,472
596,0000;554,161
596,5000;537,963
597,0000;538,861
597,5000;543,577
598,0000;526,626
598,5000;503,744
599,0000;507,256
599,5000;501,593
600,0000;492,706
600,5000;479,689
601,0000;486,404
601,5000;468,333
602,0000;460,276
602,5000;468,083
603,0000;456,722
603,5000;431,592
604,0000;426,767
604,5000;422,384
605,0000;412,774
605,5000;414,964
606,0000;405,64
606,5000;402,215
607,0000;393,631
607,5000;383,152
608,0000;394,545
608,5000;384,417
609,0000;369,861
609,5000;365,59
610,0000;370,868
610,5000;354,969
611,0000;349,975
611,5000;349,679
612,0000;338,408
612,5000;344,85
613,0000;331,036
613,5000;320,763
614,0000;321,073
614,5000;311,664
615,0000;311,717
615,5000;307,753
616,0000;298,967
616,5000;295,3
617,0000;295,178
617,5000;292,282
618,0000;287,523
618,5000;278,969
619,0000;277,132
619,5000;276,338
620,0000;252,524
620,5000;250,12
621,0000;261,325
621,5000;258,725
622,0000;241,931
622,5000;246,9
623,0000;239,023
623,5000;234,549
624,0000;227,703
624,5000;230,898
625,0000;229,957
625,5000;218,321
626,0000;213,614
626,5000;212,556
627,0000;212,348
627,5000;201,977
628,0000;202,717
628,5000;195,567
629,0000;189,333
629,5000;193,139
630,0000;182,687
630,5000;191,624
631,0000;178,589
631,5000;179,385
632,0000;176,038
632,5000;174,811
633,0000;176,668
633,5000;164,285
634,0000;165,544
634,5000;158,454
635,0000;158,232
635,5000;155,039
636,0000;155,07
636,5000;152,649
637,0000;149,472
637,5000;140,122
638,0000;147,277
638,5000;148,191
639,0000;135,003
639,5000;141,31
640,0000;136,253
640,5000;134,217
641,0000;136,264
641,5000;129,524
642,0000;132,991
642,5000;125,367
643,0000;118,623
643,5000;120,024
644,0000;117,408
644,5000;117,567
645,0000;113,852
645,5000;110,566
646,0000;109,544
646,5000;111,759
647,0000;106,421
647,5000;107,785
648,0000;101,173
648,5000;99,0381
649,0000;95,3651
649,5000;97,6746
650,0000;93,5445
650,5000;97,1245
651,0000;96,5718
651,5000;92,9067
652,0000;93,0851
652,5000;90,6182
653,0000;88,1113
653,5000;80,7891
654,0000;82,0049
654,5000;81,9204
655,0000;74,6851
655,5000;82,3468
656,0000;76,0725
656,5000;75,7822
657,0000;78,4412
657,5000;70,9927
658,0000;74,0258
658,5000;75,4175
659,0000;66,5227
659,5000;70,3916
660,0000;69,9243
660,5000;70,0055
661,0000;66,158
661,5000;64,5997
662,0000;63,1076
662,5000;59,1891
663,0000;59,5363
663,5000;63,8685
664,0000;61,4523
664,5000;62,8618
665,0000;60,223
665,5000;61,2949
666,0000;55,09
666,5000;55,3354
667,0000;58,4051
667,5000;54,173
668,0000;50,3541
668,5000;50,7264
669,0000;52,5415
669,5000;57,4864
670,0000;50,7075
670,5000;49,2069
671,0000;46,7357
671,5000;50,2453
672,0000;47,6323
672,5000;50,1351
673,0000;42,9255
673,5000;43,8283
674,0000;46,4283
674,5000;41,3629
675,0000;42,1954
675,5000;38,5138
676,0000;41,4918
676,5000;41,3545
677,0000;38,452
677,5000;39,0847
678,0000;38,812
678,5000;38,0214
679,0000;34,4912
679,5000;37,899
680,0000;38,5095
680,5000;35,3332
681,0000;35,3212
681,5000;34,262
682,0000;33,3251
682,5000;32,5682
683,0000;34,2607
683,5000;30,425
684,0000;32,6427
684,5000;30,6379
685,0000;27,2389
685,5000;31,9346
686,0000;26,9045
686,5000;27,2495
687,0000;29,7321
687,5000;25,3279
688,0000;25,3666
688,5000;25,8094
689,0000;25,5488
689,5000;21,7047
690,0000;25,4206
690,5000;26,9736
691,0000;25,2739
691,5000;24,1737
692,0000;25,3688
692,5000;24,0506
693,0000;22,0878
693,5000;24,2008
694,0000;24,6137
694,5000;22,6265
695,0000;24,3918
695,5000;21,3328
696,0000;22,0496
696,5000;22,6851
697,0000;23,2478
697,5000;18,7663
698,0000;19,1567
698,5000;18,6077
699,0000;18,6728
699,5000;18,6627
700,0000;17,7836
700,5000;17,3922
701,0000;17,0782
701,5000;20,2419
702,0000;18,2515
702,5000;18,716
703,0000;18,8047
703,5000;14,649
704,0000;17,0167
704,5000;15,0083
705,0000;15,2383
705,5000;17,4446
706,0000;18,331
706,5000;16,9247
707,0000;17,4164
707,5000;14,5319
708,0000;14,1605
708,5000;14,6041
709,0000;11,6283
709,5000;12,7595
710,0000;13,4635
710,5000;14,3774
711,0000;12,736
711,5000;14,6029
712,0000;12,4899
712,5000;14,4634
713,0000;12,6076
713,5000;10,7684
714,0000;11,5203
714,5000;13,3102
715,0000;10,9711
715,5000;12,8028
716,0000;12,0512
716,5000;10,3693
717,0000;9,87503
717,5000;10,461
718,0000;11,798
718,5000;11,4824
719,0000;10,6014
719,5000;10,7452
720,0000;10,3872
720,5000;9,71237
721,0000;11,2976
721,5000;10,3454
722,0000;10,8487
722,5000;9,17667
723,0000;9,09488
723,5000;8,74783
724,0000;8,87644
724,5000;8,23793
725,0000;9,53391
725,5000;10,4388
726,0000;8,33436
726,5000;8,50688
727,0000;7,84045
727,5000;7,7757
728,0000;7,26525
728,5000;9,63584
729,0000;8,39095
729,5000;8,06607
730,0000;8,80915
730,5000;7,41506
731,0000;7,17126
731,5000;6,8981
732,0000;6,82798
732,5000;7,90942
733,0000;6,77445
733,5000;8,36092
734,0000;9,03431
734,5000;8,77787
735,0000;6,49826
735,5000;6,84222
736,0000;7,22132
