XYDATA;LYSO_medium.jws
828,5000;-0,641329
829,0000;-0,666184
829,5000;-0,79561
830,0000;-0,715383
830,5000;-0,736358
831,0000;-0,736153
831,5000;-0,735605
832,0000;-0,767061
832,5000;-0,801287
833,0000;-0,748457
833,5000;-0,741214
834,0000;-0,745739
834,5000;-0,797982
835,0000;-0,787732
835,5000;-0,878816
836,0000;-0,831092
836,5000;-0,763537
837,0000;-0,753608
837,5000;-0,784975
838,0000;-0,732167
838,5000;-0,742518
839,0000;-0,832856
839,5000;-0,650883
840,0000;-0,844259
840,5000;-0,804844
841,0000;-0,791139
841,5000;-0,746394
842,0000;-0,81068
842,5000;-0,794454
843,0000;-0,701215
843,5000;-0,627641
844,0000;-0,68962
844,5000;-0,868538
845,0000;-0,760969
845,5000;-0,858377
846,0000;-0,773159
846,5000;-0,751192
847,0000;-0,685791
847,5000;-0,722042
848,0000;-0,71262
848,5000;-0,801894
849,0000;-0,79398
849,5000;-0,781366
850,0000;-0,831455
850,5000;-0,783968
851,0000;-0,763761
851,5000;-0,725421
852,0000;-0,771492
852,5000;-0,756896
853,0000;-0,699367
853,5000;-0,889356
854,0000;-0,721264
854,5000;-0,866073
855,0000;-0,819298
855,5000;-0,771743
856,0000;-0,713635
856,5000;-0,889426
857,0000;-0,785103
857,5000;-0,898203
858,0000;-0,75045
858,5000;-0,86978
859,0000;-0,810235
859,5000;-0,842174
860,0000;-0,767667
860,5000;-0,853089
861,0000;-0,872615
861,5000;-0,675114
862,0000;-0,896157
862,5000;-0,785106
863,0000;-0,662858
863,5000;-0,80789
864,0000;-0,884032
864,5000;-0,911513
865,0000;-0,788949
865,5000;-0,812587
866,0000;-0,847814
866,5000;-0,786979
867,0000;-0,841319
867,5000;-0,86865
868,0000;-0,80627
868,5000;-0,887017
869,0000;-0,774202
869,5000;-0,744441
870,0000;-0,805063
870,5000;-0,787004
871,0000;-0,720878
871,5000;-0,745905
872,0000;-0,702081
872,5000;-0,797941
873,0000;-0,769896
873,5000;-0,788166
874,0000;-0,856682
874,5000;-0,825812
875,0000;-0,884208
875,5000;-0,800795
876,0000;-0,756535
876,5000;-0,823591
877,0000;-0,86099
877,5000;-0,795471
878,0000;-0,820718
878,5000;-0,794627
879,0000;-0,813522
879,5000;-0,804419
880,0000;-0,949244
880,5000;-0,719009
881,0000;-0,825639
881,5000;-0,910718
882,0000;-0,754106
882,5000;-0,847539
883,0000;-0,727779
883,5000;-0,856995
884,0000;-0,802866
884,5000;-0,823116
885,0000;-0,899342
885,5000;-0,869462
886,0000;-0,765309
886,5000;-0,842871
887,0000;-0,862642
887,5000;-0,927046
888,0000;-0,871761
888,5000;-0,767568
889,0000;-0,774368
889,5000;-0,861802
890,0000;-0,790851
890,5000;-0,816175
891,0000;-0,933681
891,5000;-0,958388
892,0000;-0,790192
892,5000;-0,786309
893,0000;-0,755499
893,5000;-0,735272
894,0000;-0,917772
894,5000;-0,860737
895,0000;-0,828507
895,5000;-0,796991
896,0000;-0,857296
896,5000;-0,862517
897,0000;-0,849803
897,5000;-0,91452
898,0000;-0,906377
898,5000;-0,897555
899,0000;-0,853487
899,5000;-0,777879
900,0000;-0,900495
