XYDATA;LYSO_very_low.jws
753,0000;-1,07798
753,5000;-1,06772
754,0000;-1,05113
754,5000;-1,05536
755,0000;-1,0617
755,5000;-1,02888
756,0000;-1,01576
756,5000;-1,0467
757,0000;-1,01975
757,5000;-1,03564
758,0000;-1,08672
758,5000;-1,05379
759,0000;-1,03179
759,5000;-1,04726
760,0000;-1,02843
760,5000;-1,06838
761,0000;-1,0158
761,5000;-1,06946
762,0000;-1,10201
762,5000;-1,06722
763,0000;-1,06239
763,5000;-1,07473
764,0000;-1,06449
764,5000;-1,06606
765,0000;-1,01017
765,5000;-1,01756
766,0000;-1,10208
766,5000;-1,0633
767,0000;-1,03215
767,5000;-1,01396
768,0000;-1,09646
768,5000;-1,03222
769,0000;-1,03245
769,5000;-1,05479
770,0000;-1,0711
770,5000;-0,989534
771,0000;-1,06975
771,5000;-1,07574
772,0000;-1,05382
772,5000;-1,01612
773,0000;-1,0113
773,5000;-1,02028
774,0000;-1,0528
774,5000;-1,07226
775,0000;-1,00969
775,5000;-1,04053
776,0000;-1,05382
776,5000;-1,07222
777,0000;-1,04095
777,5000;-1,08055
778,0000;-1,05215
778,5000;-1,09941
779,0000;-1,06313
779,5000;-0,998453
780,0000;-1,0787
780,5000;-1,0973
781,0000;-1,0609
781,5000;-1,04076
782,0000;-1,07917
782,5000;-1,01272
783,0000;-1,07612
783,5000;-1,05164
784,0000;-1,04857
784,5000;-1,07582
785,0000;-1,04361
785,5000;-1,0075
786,0000;-1,05614
786,5000;-1,06618
787,0000;-1,0619
787,5000;-1,06211
788,0000;-0,976396
788,5000;-1,05718
789,0000;-1,04788
789,5000;-1,07194
790,0000;-1,04315
790,5000;-1,07729
791,0000;-1,07538
791,5000;-1,04402
792,0000;-1,06603
792,5000;-1,04666
793,0000;-1,02761
793,5000;-1,04458
794,0000;-1,04169
794,5000;-1,0305
795,0000;-1,04744
795,5000;-1,04042
796,0000;-1,04364
796,5000;-1,04271
797,0000;-1,10952
797,5000;-1,04683
798,0000;-1,09538
798,5000;-1,09421
799,0000;-1,06028
799,5000;-1,02938
800,0000;-1,06856
800,5000;-1,09284
801,0000;-1,0651
801,5000;-1,02711
802,0000;-1,05426
802,5000;-1,05245
803,0000;-1,0736
803,5000;-1,06683
804,0000;-1,08821
804,5000;-1,06044
805,0000;-1,05023
805,5000;-1,08653
806,0000;-1,03251
806,5000;-1,05179
807,0000;-1,07021
807,5000;-1,03306
808,0000;-1,04908
808,5000;-1,06408
809,0000;-1,0629
809,5000;-1,06229
810,0000;-1,08713
810,5000;-1,0703
811,0000;-1,0737
811,5000;-1,01143
812,0000;-1,07173
812,5000;-1,0534
813,0000;-1,05658
813,5000;-1,06769
814,0000;-1,03993
814,5000;-1,0179
815,0000;-1,06052
815,5000;-1,08318
816,0000;-1,02624
816,5000;-1,06364
817,0000;-1,01508
817,5000;-1,04127
818,0000;-1,07899
818,5000;-1,06367
819,0000;-1,04569
819,5000;-1,05735
820,0000;-1,07468
820,5000;-1,067
821,0000;-1,05653
821,5000;-1,03104
822,0000;-1,07028
822,5000;-1,05433
823,0000;-1,03529
823,5000;-1,09035
824,0000;-1,08321
824,5000;-1,10573
825,0000;-1,07869
825,5000;-1,05585
826,0000;-1,03152
826,5000;-1,03806
827,0000;-1,03939
827,5000;-1,06503
828,0000;-1,06755
828,5000;-1,04965
829,0000;-1,01965
829,5000;-1,09244
830,0000;-1,01176
830,5000;-0,98901
831,0000;-1,05754
831,5000;-1,04308
832,0000;-1,03757
832,5000;-1,09225
833,0000;-1,03066
833,5000;-1,01609
834,0000;-1,04249
834,5000;-1,0895
835,0000;-1,06769
835,5000;-1,05309
836,0000;-1,07537
836,5000;-1,11119
837,0000;-1,04316
837,5000;-1,05606
838,0000;-1,04468
838,5000;-1,01956
839,0000;-1,04848
839,5000;-1,04151
840,0000;-1,0342
840,5000;-1,06976
841,0000;-1,06671
841,5000;-1,05304
842,0000;-1,0425
842,5000;-1,06431
843,0000;-0,984472
843,5000;-1,07477
844,0000;-1,06422
844,5000;-1,03194
845,0000;-1,03658
845,5000;-1,05957
846,0000;-1,06011
846,5000;-1,08629
847,0000;-1,1094
847,5000;-1,0691
848,0000;-1,06306
848,5000;-1,0655
849,0000;-1,0742
849,5000;-1,03113
850,0000;-1,07308
850,5000;-1,07603
851,0000;-1,0625
851,5000;-1,00459
852,0000;-1,03571
852,5000;-1,06086
853,0000;-1,04432
853,5000;-1,06602
854,0000;-1,06486
854,5000;-1,02408
855,0000;-1,1172
855,5000;-1,06361
856,0000;-1,07698
856,5000;-1,0668
857,0000;-1,04213
857,5000;-1,04932
858,0000;-1,04786
858,5000;-1,07272
859,0000;-1,02719
859,5000;-1,04517
860,0000;-1,07951
860,5000;-1,03435
861,0000;-1,05959
861,5000;-1,05066
862,0000;-1,0803
862,5000;-1,08043
863,0000;-1,03994
863,5000;-1,05099
864,0000;-1,04384
864,5000;-1,0554
865,0000;-1,09786
865,5000;-1,04696
866,0000;-1,05995
866,5000;-1,02649
867,0000;-1,08249
867,5000;-1,05741
868,0000;-1,07175
868,5000;-1,06935
869,0000;-1,00853
869,5000;-1,02964
870,0000;-1,03656
870,5000;-1,08159
871,0000;-1,02696
871,5000;-1,08821
872,0000;-1,11629
872,5000;-1,08688
873,0000;-1,00492
873,5000;-1,04239
874,0000;-1,07592
874,5000;-1,05827
875,0000;-1,08307
875,5000;-1,02222
876,0000;-1,04065
876,5000;-1,07141
877,0000;-1,06773
877,5000;-1,03558
878,0000;-1,05683
878,5000;-1,02277
879,0000;-1,05669
879,5000;-1,04599
880,0000;-1,02643
880,5000;-1,06714
881,0000;-1,05668
881,5000;-1,07425
882,0000;-1,06614
882,5000;-1,01777
883,0000;-1,04781
883,5000;-0,988826
884,0000;-1,03629
884,5000;-1,04419
885,0000;-1,03958
885,5000;-1,06176
886,0000;-1,07152
886,5000;-1,08039
887,0000;-0,973949
887,5000;-1,0363
888,0000;-1,08876
888,5000;-1,03158
889,0000;-1,03128
889,5000;-1,09107
890,0000;-1,04719
890,5000;-0,997077
891,0000;-1,04304
891,5000;-0,995681
892,0000;-1,06709
892,5000;-1,06821
893,0000;-1,00669
893,5000;-1,0615
894,0000;-1,02766
894,5000;-1,06917
895,0000;-1,05282
895,5000;-1,03631
896,0000;-1,08037
896,5000;-1,10284
897,0000;-1,09891
897,5000;-1,05705
898,0000;-1,01183
898,5000;-1,09316
899,0000;-1,10558
899,5000;-1,00063
900,0000;-1,04345
