XYDATA;GAGG_medium_300nm.jws
537,0000;22,2176
537,5000;21,5708
538,0000;21,3329
538,5000;22,117
539,0000;22,6371
539,5000;22,4827
540,0000;22,5669
540,5000;23,3477
541,0000;23,3673
541,5000;22,6297
542,0000;23,0898
542,5000;23,2024
543,0000;22,8777
543,5000;23,7802
544,0000;23,2471
544,5000;23,8927
545,0000;23,5489
545,5000;23,2517
546,0000;23,8298
546,5000;23,0145
547,0000;23,7255
547,5000;23,3388
548,0000;23,9711
548,5000;24,0477
549,0000;24,3361
549,5000;23,4674
550,0000;24,634
550,5000;24,0756
551,0000;24,2822
551,5000;23,5811
552,0000;25,028
552,5000;23,3739
553,0000;23,8844
553,5000;23,6845
554,0000;25,5752
554,5000;24,6268
555,0000;24,801
555,5000;24,8144
556,0000;25,4537
556,5000;23,7563
557,0000;25,5308
557,5000;23,7588
558,0000;24,2272
558,5000;24,7545
559,0000;24,0563
559,5000;24,8286
560,0000;24,6549
560,5000;23,3423
561,0000;24,1797
561,5000;24,6053
562,0000;23,9698
562,5000;23,2842
563,0000;23,9217
563,5000;23,5716
564,0000;23,8951
564,5000;24,0585
565,0000;22,9569
565,5000;23,7725
566,0000;23,9017
566,5000;23,95
567,0000;23,0599
567,5000;23,056
568,0000;23,1621
568,5000;23,5185
569,0000;23,6482
569,5000;22,9227
570,0000;22,8566
570,5000;22,834
571,0000;22,5141
571,5000;22,1916
572,0000;22,7773
572,5000;23,2936
573,0000;21,8949
573,5000;22,1122
574,0000;22,136
574,5000;22,1699
575,0000;21,8535
575,5000;21,4704
576,0000;21,6143
576,5000;22,0195
577,0000;21,8107
577,5000;21,8858
578,0000;21,8695
578,5000;21,8364
579,0000;21,8373
579,5000;20,9321
580,0000;20,6676
580,5000;21,0935
581,0000;21,0404
581,5000;20,8591
582,0000;20,5988
582,5000;19,9078
583,0000;20,1785
583,5000;20,3323
584,0000;20,0961
584,5000;19,6793
585,0000;18,6581
585,5000;19,4212
586,0000;19,0032
586,5000;19,1143
587,0000;18,966
587,5000;18,6387
588,0000;18,6589
588,5000;18,4584
589,0000;17,7148
589,5000;17,9978
590,0000;17,3887
590,5000;18,0883
591,0000;17,8178
591,5000;18,2258
592,0000;17,4216
592,5000;17,5433
593,0000;17,6519
593,5000;17,4843
594,0000;16,5468
594,5000;16,4682
595,0000;16,5077
595,5000;17,0299
596,0000;16,3675
596,5000;16,3354
597,0000;16,4856
597,5000;16,0836
598,0000;16,4931
598,5000;16,1737
599,0000;16,0551
599,5000;15,4151
600,0000;15,9453
600,5000;14,9193
601,0000;14,3705
601,5000;14,7642
602,0000;14,5432
602,5000;15,213
603,0000;14,8307
603,5000;14,1471
604,0000;14,5338
604,5000;14,0242
605,0000;13,8135
605,5000;13,8689
606,0000;13,7321
606,5000;13,5679
607,0000;12,8769
607,5000;14,5377
608,0000;12,972
608,5000;12,2166
609,0000;13,8371
609,5000;12,8473
610,0000;13,5403
610,5000;12,3447
611,0000;12,6818
611,5000;12,3228
612,0000;12,8962
612,5000;12,0085
613,0000;11,6028
613,5000;11,635
614,0000;11,3073
614,5000;10,778
615,0000;11,0238
615,5000;11,2981
616,0000;11,7816
616,5000;10,8408
617,0000;10,3968
617,5000;10,8154
618,0000;10,9587
618,5000;10,2437
619,0000;10,614
619,5000;10,3276
620,0000;10,4803
620,5000;9,97504
621,0000;9,55143
621,5000;9,29535
622,0000;9,55479
622,5000;9,52554
623,0000;9,4213
623,5000;9,04798
624,0000;9,23055
624,5000;8,90987
625,0000;9,1358
625,5000;8,58741
626,0000;8,20148
626,5000;8,61811
627,0000;8,82181
627,5000;7,89769
628,0000;8,17529
628,5000;7,61994
629,0000;8,27928
629,5000;7,59309
630,0000;7,76568
630,5000;7,92292
631,0000;7,85682
631,5000;7,35971
632,0000;7,36059
632,5000;6,43841
633,0000;7,13813
633,5000;6,69787
634,0000;7,0611
634,5000;6,57824
635,0000;6,25611
635,5000;6,73022
636,0000;6,52165
636,5000;6,38406
637,0000;6,12695
637,5000;5,89167
638,0000;6,58111
638,5000;6,53088
639,0000;5,75023
639,5000;5,8556
640,0000;5,51029
640,5000;6,00215
641,0000;5,24565
641,5000;5,52015
642,0000;4,90154
642,5000;5,64962
643,0000;5,31559
643,5000;5,28521
644,0000;4,89676
644,5000;5,11167
645,0000;4,87992
645,5000;5,00686
646,0000;4,51301
646,5000;4,79799
647,0000;5,13961
647,5000;4,43225
648,0000;4,9121
648,5000;4,21834
649,0000;4,11514
649,5000;3,81226
650,0000;4,13657
650,5000;4,23421
651,0000;4,36911
651,5000;3,97865
652,0000;3,91497
652,5000;3,84811
653,0000;3,93379
653,5000;3,78326
654,0000;4,32606
654,5000;3,82803
655,0000;3,43555
655,5000;3,58902
656,0000;3,53054
656,5000;3,78009
657,0000;3,36945
657,5000;3,02324
658,0000;3,29857
658,5000;2,83614
659,0000;3,20171
659,5000;2,92951
660,0000;2,87233
660,5000;2,97872
661,0000;3,0769
661,5000;2,97085
662,0000;3,15847
662,5000;2,80311
663,0000;2,65721
663,5000;3,07611
664,0000;2,98912
664,5000;2,7896
665,0000;2,48493
665,5000;2,71624
666,0000;2,64935
666,5000;2,50103
667,0000;2,20732
667,5000;2,27753
668,0000;2,69708
668,5000;2,33221
669,0000;2,2436
669,5000;2,10549
670,0000;2,28827
670,5000;1,9736
671,0000;2,10573
671,5000;2,37687
672,0000;1,88802
672,5000;2,13793
673,0000;2,03787
673,5000;2,17371
674,0000;2,14849
674,5000;1,8173
675,0000;1,81108
675,5000;2,05607
676,0000;1,86835
676,5000;2,10071
677,0000;1,58484
677,5000;1,4738
678,0000;1,73465
678,5000;2,05142
679,0000;1,73982
679,5000;1,89251
680,0000;1,71777
680,5000;1,5308
681,0000;1,77383
681,5000;1,36428
682,0000;1,35129
682,5000;1,70166
683,0000;1,78187
683,5000;1,52611
684,0000;1,39936
684,5000;1,26048
685,0000;1,18549
685,5000;1,70763
686,0000;1,50301
686,5000;1,52719
687,0000;1,49045
687,5000;1,41467
688,0000;1,17278
688,5000;1,08384
689,0000;1,29183
689,5000;1,19717
690,0000;1,27564
690,5000;1,26485
691,0000;1,3494
691,5000;1,32832
692,0000;1,06445
692,5000;1,15502
693,0000;1,3685
693,5000;1,53987
694,0000;0,909832
694,5000;1,35995
695,0000;1,12234
695,5000;1,13854
696,0000;0,79054
696,5000;1,06423
697,0000;0,963835
697,5000;0,782221
698,0000;1,04745
698,5000;0,916754
699,0000;0,936029
699,5000;0,961123
700,0000;0,863963
700,5000;0,831993
701,0000;0,67279
701,5000;0,742473
702,0000;0,696438
702,5000;0,626506
703,0000;0,95817
703,5000;0,798193
704,0000;0,906553
704,5000;1,03454
705,0000;0,732272
705,5000;0,556438
706,0000;0,630551
706,5000;0,574018
707,0000;0,492391
707,5000;0,409927
708,0000;0,570094
708,5000;0,702104
709,0000;0,740324
709,5000;0,702146
710,0000;0,411012
710,5000;0,355024
711,0000;0,746679
711,5000;0,649286
712,0000;0,810095
712,5000;0,467635
713,0000;0,533778
713,5000;0,614999
714,0000;0,468167
714,5000;0,358014
715,0000;0,354617
715,5000;0,157886
716,0000;0,289708
716,5000;0,383772
717,0000;0,430791
717,5000;0,508861
718,0000;0,506907
718,5000;0,543031
719,0000;0,409446
719,5000;0,352128
720,0000;0,243048
720,5000;0,440211
721,0000;0,22186
721,5000;0,153893
722,0000;-0,00219648
722,5000;0,219932
723,0000;0,135549
723,5000;0,182494
724,0000;0,157152
724,5000;0,127401
725,0000;0,072279
725,5000;0,130095
726,0000;0,308248
726,5000;0,208705
727,0000;0,239886
727,5000;0,0668177
728,0000;-0,0148753
728,5000;0,18792
729,0000;-0,0190574
729,5000;-0,0461221
730,0000;0,140006
730,5000;0,127726
731,0000;0,00267917
731,5000;0,0726971
732,0000;0,0666995
732,5000;0,00496416
733,0000;-0,0745866
733,5000;-0,0488253
734,0000;-0,0252767
734,5000;-0,0587422
735,0000;-0,0374291
735,5000;-0,0905077
736,0000;-0,114155
736,5000;-0,176637
737,0000;-0,126329
737,5000;-0,13615
738,0000;-0,324537
738,5000;-0,161455
739,0000;-0,187583
739,5000;0,073571
740,0000;-0,299373
740,5000;-0,224515
741,0000;-0,228728
741,5000;-0,38672
742,0000;-0,364992
742,5000;-0,0630721
743,0000;-0,33166
743,5000;-0,187018
744,0000;-0,0343529
744,5000;-0,267637
745,0000;-0,311171
745,5000;-0,253029
746,0000;-0,177454
746,5000;-0,315328
747,0000;-0,23603
