XYDATA;PWO_320_900nm.jws
642,0000;2,12798
642,5000;4,31623
643,0000;3,62776
643,5000;2,38118
644,0000;2,90194
644,5000;3,08725
645,0000;3,02104
645,5000;2,86327
646,0000;2,43508
646,5000;2,40867
647,0000;3,11945
647,5000;3,56927
648,0000;2,9272
648,5000;3,03062
649,0000;2,60558
649,5000;2,92308
650,0000;3,28541
650,5000;3,21442
651,0000;3,01647
651,5000;2,44926
652,0000;2,5745
652,5000;2,38358
653,0000;2,26327
653,5000;2,34857
654,0000;2,89849
654,5000;1,41443
655,0000;2,57704
655,5000;1,84088
656,0000;2,04144
656,5000;1,83273
657,0000;1,78662
657,5000;2,81734
658,0000;2,8252
658,5000;2,87707
659,0000;2,10744
659,5000;2,37731
660,0000;1,72794
660,5000;2,22239
661,0000;1,93737
661,5000;2,47425
662,0000;2,35172
662,5000;1,85022
663,0000;2,07693
663,5000;1,57654
664,0000;1,78827
664,5000;2,879
665,0000;2,74531
665,5000;1,80676
666,0000;1,88645
666,5000;2,70491
667,0000;2,14243
667,5000;3,35463
668,0000;2,10194
668,5000;2,86934
669,0000;3,0499
669,5000;1,76176
670,0000;1,90947
670,5000;1,30071
671,0000;2,34133
671,5000;2,71654
672,0000;1,77963
672,5000;2,14487
673,0000;1,19876
673,5000;2,47232
674,0000;2,56944
674,5000;1,80586
675,0000;2,49242
675,5000;1,87487
676,0000;1,80252
676,5000;2,37012
677,0000;2,40449
677,5000;2,2929
678,0000;2,39342
678,5000;1,84846
679,0000;1,89444
679,5000;2,41911
680,0000;3,36737
680,5000;1,52388
681,0000;1,59281
681,5000;1,64528
682,0000;2,26307
682,5000;1,88362
683,0000;2,35037
683,5000;1,93306
684,0000;1,81296
684,5000;1,87231
685,0000;3,68975
685,5000;3,05842
686,0000;1,50946
686,5000;2,31845
687,0000;2,54409
687,5000;1,74891
688,0000;2,1215
688,5000;2,24668
689,0000;2,23423
689,5000;1,88144
690,0000;2,15194
690,5000;1,15682
691,0000;1,92002
691,5000;1,84211
692,0000;1,34303
692,5000;1,31381
693,0000;2,10408
693,5000;1,96261
694,0000;2,35145
694,5000;2,45283
695,0000;2,12143
695,5000;1,53899
696,0000;1,15819
696,5000;2,28641
697,0000;1,2342
697,5000;1,98733
698,0000;1,13843
698,5000;1,39809
699,0000;1,28645
699,5000;1,97237
700,0000;2,05023
700,5000;1,75445
701,0000;2,79657
701,5000;1,08257
702,0000;1,76342
702,5000;1,68938
703,0000;2,08331
703,5000;1,21368
704,0000;1,83704
704,5000;1,51576
705,0000;1,74832
705,5000;2,44036
706,0000;1,97015
706,5000;1,51856
707,0000;1,88138
707,5000;1,19874
708,0000;1,14601
708,5000;1,21442
709,0000;1,12181
709,5000;1,94235
710,0000;1,48293
710,5000;2,17548
711,0000;2,13113
711,5000;1,57322
712,0000;1,99383
712,5000;2,37589
713,0000;1,11735
713,5000;1,32289
714,0000;1,65763
714,5000;1,75576
715,0000;1,63777
715,5000;1,94027
716,0000;1,63635
716,5000;1,14345
717,0000;1,47857
717,5000;2,5168
718,0000;0,444972
718,5000;1,19237
719,0000;0,904607
719,5000;1,75672
720,0000;1,12516
720,5000;1,50844
721,0000;1,35203
721,5000;1,29113
722,0000;1,51209
722,5000;1,34318
723,0000;1,83257
723,5000;2,21045
724,0000;1,44778
724,5000;0,873472
725,0000;0,953883
725,5000;1,60787
726,0000;2,51221
726,5000;2,14262
727,0000;1,54545
727,5000;1,50681
728,0000;1,42923
728,5000;1,47271
729,0000;1,5631
729,5000;1,3561
730,0000;1,90433
730,5000;0,99983
731,0000;1,18787
731,5000;0,884351
732,0000;1,07623
732,5000;0,627914
733,0000;1,06311
733,5000;0,527965
734,0000;0,631799
734,5000;1,52623
735,0000;0,465466
