XYDATA;BSO.jws
550,5000;2470,01
551,0000;2443,75
551,5000;2424,71
552,0000;2404,48
552,5000;2403,71
553,0000;2362,31
553,5000;2356,04
554,0000;2329,42
554,5000;2347,9
555,0000;2335,32
555,5000;2306,96
556,0000;2313,76
556,5000;2280,99
557,0000;2262,99
557,5000;2249,91
558,0000;2234,31
558,5000;2213,95
559,0000;2231,66
559,5000;2192,03
560,0000;2178,69
560,5000;2170,09
561,0000;2172,53
561,5000;2110,06
562,0000;2143,9
562,5000;2132,91
563,0000;2081,11
563,5000;2076,95
564,0000;2037,78
564,5000;2056,84
565,0000;2029,9
565,5000;2019,14
566,0000;2018,23
566,5000;1996,7
567,0000;1978,74
567,5000;1972,77
568,0000;1955,75
568,5000;1940,28
569,0000;1906,09
569,5000;1905,84
570,0000;1889,21
570,5000;1903,81
571,0000;1854,37
571,5000;1841,95
572,0000;1831,28
572,5000;1807,69
573,0000;1782,98
573,5000;1806,28
574,0000;1798,36
574,5000;1769,7
575,0000;1777,01
575,5000;1723,27
576,0000;1723,87
576,5000;1721,53
577,0000;1706,14
577,5000;1689,1
578,0000;1674,71
578,5000;1648,04
579,0000;1651,13
579,5000;1628,07
580,0000;1619,54
580,5000;1598,29
581,0000;1598,51
581,5000;1584,71
582,0000;1569,09
582,5000;1556,92
583,0000;1512,45
583,5000;1525,69
584,0000;1510,37
584,5000;1497,97
585,0000;1496,58
585,5000;1477,23
586,0000;1469,75
586,5000;1443,79
587,0000;1441,83
587,5000;1406,41
588,0000;1419,15
588,5000;1417,1
589,0000;1389,5
589,5000;1398,76
590,0000;1353,67
590,5000;1348,02
591,0000;1335,83
591,5000;1331,14
592,0000;1311,55
592,5000;1314,31
593,0000;1281,84
593,5000;1301,12
594,0000;1270,66
594,5000;1269,29
595,0000;1255,93
595,5000;1262,51
596,0000;1249,14
596,5000;1219,55
597,0000;1216,16
597,5000;1209,6
598,0000;1219,81
598,5000;1194,56
599,0000;1177,43
599,5000;1173,31
600,0000;1149,54
600,5000;1152,27
601,0000;1141,02
601,5000;1120,05
602,0000;1104,21
602,5000;1116,89
603,0000;1100,25
603,5000;1080,63
604,0000;1081,65
604,5000;1053,08
605,0000;1048,95
605,5000;1038,7
606,0000;1014,22
606,5000;1009,56
607,0000;1016,77
607,5000;1007,01
608,0000;995,806
608,5000;990,805
609,0000;975,682
609,5000;971,43
610,0000;933,379
610,5000;937,297
611,0000;939,417
611,5000;921,435
612,0000;905,595
612,5000;902,44
613,0000;891,438
613,5000;887,81
614,0000;875,952
614,5000;852,177
615,0000;844,192
615,5000;847,756
616,0000;839,796
616,5000;847,188
617,0000;828,887
617,5000;820,936
618,0000;806,157
618,5000;784,616
619,0000;794,179
619,5000;789,475
620,0000;783,424
620,5000;772,843
621,0000;766,7
621,5000;743,219
622,0000;747,743
622,5000;731,148
623,0000;711,215
623,5000;714,461
624,0000;715,973
624,5000;713,484
625,0000;705,716
625,5000;685,215
626,0000;679,024
626,5000;693,741
627,0000;671,228
627,5000;683,094
628,0000;645,996
628,5000;637,251
629,0000;633,767
629,5000;634,033
630,0000;617,321
630,5000;620,294
631,0000;614,153
631,5000;603,901
632,0000;589,851
632,5000;590,549
633,0000;584,608
633,5000;581,507
634,0000;579,015
634,5000;569,29
635,0000;575,724
635,5000;563,68
636,0000;549,553
636,5000;549,053
637,0000;543,116
637,5000;541,265
638,0000;525,321
638,5000;517,239
639,0000;520,539
639,5000;505,687
640,0000;512,097
640,5000;510,07
641,0000;495,22
641,5000;478,167
642,0000;480,307
642,5000;476,979
643,0000;480,368
643,5000;477,493
644,0000;478,248
644,5000;454,282
645,0000;455,18
645,5000;446,329
646,0000;458,593
646,5000;444,088
647,0000;422,745
647,5000;434,282
648,0000;425,263
648,5000;417,294
649,0000;418,253
649,5000;412,534
650,0000;406,81
650,5000;395,974
651,0000;396,563
651,5000;404,588
652,0000;385,949
652,5000;386,107
653,0000;392,651
653,5000;366,474
654,0000;358,828
654,5000;357,347
655,0000;358,894
655,5000;344,761
656,0000;352,105
656,5000;352,068
657,0000;346,78
657,5000;338,408
658,0000;339,436
658,5000;336,349
659,0000;329,092
659,5000;326,036
660,0000;332,261
660,5000;319,861
661,0000;322,269
661,5000;311,885
662,0000;304,652
662,5000;301,573
663,0000;292,861
663,5000;300,766
664,0000;293,111
664,5000;283,624
665,0000;286,5
665,5000;287,923
666,0000;288,043
666,5000;287,29
667,0000;281,255
667,5000;275,272
668,0000;262,115
668,5000;262,798
669,0000;269,057
669,5000;259,18
670,0000;258,711
670,5000;267,85
671,0000;249,929
671,5000;253,798
672,0000;252,669
672,5000;236,649
673,0000;239,374
673,5000;225,487
674,0000;240,82
674,5000;228,508
675,0000;233,847
675,5000;225,763
676,0000;225,778
676,5000;220,091
677,0000;218,951
677,5000;216,191
678,0000;218,654
678,5000;207,852
679,0000;205,201
679,5000;211,341
680,0000;207,261
680,5000;201,686
681,0000;196,279
681,5000;203,279
682,0000;196,611
